#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    16080    0.101    4.516    1.528    62640    7.671
       1    10612    0.066    4.964    1.629   133809    8.340
       2     7903    0.049    5.872    2.065    72237    9.145
       3     6489    0.041    7.740    1.710       35    6.769
       4     4537    0.028    6.178    1.599    98339    7.134
       5     3621    0.023    5.229    1.916   146273    8.031
       6     1516    0.009    6.960    1.929    89908    6.779
       7     1282    0.008    3.655    0.865    95179    8.722
       8     1224    0.008    4.767    1.308   158825    8.087
       9      890    0.006    6.281    1.276    66129    6.789
      10      875    0.005    4.772    1.155    94718    7.759
      11      354    0.002    4.087    1.069    66946    8.776
      12      235    0.001    3.987    0.757   108766    7.602
      13      178    0.001    3.165    0.869    64816    7.780
      14      141    0.001    3.626    0.989   107533    7.806
      15      120    0.001    3.027    0.973   108887    7.416
      16       99    0.001    3.765    0.822   104446    7.530
      17       99    0.001    3.498    1.036   158496    8.593
      18       88    0.001    3.212    0.755   104676    8.168
      19       68    0.000    2.874    0.799    94125    7.547
      20       37    0.000    3.026    0.643   108634    7.614
