# 1st <= 1431 < 2nd <= 4337 < 3rd <= 18995 < 4th <= 24393 < 5th <= 79298 < 6th <= 80000 < 7th <= 95849 < 8th <= 106051 < 9th <= 138024 < 10th <= 152528 < 11th
# 1st= 1431  2nd= 2906  3rd= 14658  4th= 5398  5th= 54905  6th= 702  7th= 15849  8th= 10202  9th= 31973  10th= 14504  11th= 7472
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd NumIn3rd NumIn4th NumIn5th NumIn6th NumIn7th NumIn8th NumIn9th NumIn10th NumIn11th    Frac1    Frac2    Frac3    Frac4    Frac5    Frac6    Frac7    Frac8    Frac9    Frac10    Frac11   First1   First2   First3   First4   First5   First6   First7   First8   First9   First10   First11     Rep1     Rep2     Rep3     Rep4     Rep5     Rep6     Rep7     Rep8     Rep9     Rep10     Rep11
0           16080   0.1005  1      black      191     1643    10752     2236     1257        1        0        0        0        0        0   0.1335   0.5654   0.7335   0.4142   0.0229   0.0014   0.0000   0.0000   0.0000   0.0000   0.0000      748      565      818     1448    37443        1       -1       -1       -1       -1       -1     1246     3896    12540    21291    62945    79299       -1       -1       -1       -1       -1
1           10612   0.0663  2        red        0        0        0        0        0        0       66      360     9018     1106       62   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0042   0.0353   0.2821   0.0763   0.0083       -1       -1       -1       -1       -1       -1    15782     9813    20158    11986     7081       -1       -1       -1       -1       -1       -1    95839   105840   133809   151964   159720
2            7903   0.0494  3      green        0        0        0        0     7830       73        0        0        0        0        0   0.0000   0.0000   0.0000   0.0000   0.1426   0.1040   0.0000   0.0000   0.0000   0.0000   0.0000       -1       -1       -1       -1    42780      171       -1       -1       -1       -1       -1       -1       -1       -1       -1    72237    79853       -1       -1       -1       -1       -1
3            6489   0.0406  4       blue       83       72      142      151     3829        0       96      107      700      750      559   0.0580   0.0248   0.0097   0.0280   0.0697   0.0000   0.0061   0.0105   0.0219   0.0517   0.0748       11        7        5       17        6       -1       33       10        3        4       25       29     1931     4966    19639    60630       -1    95302   101454   117383   140381   154418
4            4537   0.0284  5     yellow        0        0        0        0        0        0     1249     1470     1817        1        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0788   0.1441   0.0568   0.0001   0.0000       -1       -1       -1       -1       -1       -1      291      426     2867    10738       -1       -1       -1       -1       -1       -1       -1    84675    98354   114133   148762       -1
5            3621   0.0226  6      brown        0        0        0        0        0        0        8       30      568     2722      293   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0005   0.0029   0.0178   0.1877   0.0392       -1       -1       -1       -1       -1       -1      187      212     1504     6760     6747       -1       -1       -1       -1       -1       -1    80190    96078   107876   146107   159471
6            1516   0.0095  7       grey        0        0        0        0        0        0      887      252      377        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0560   0.0247   0.0118   0.0000   0.0000       -1       -1       -1       -1       -1       -1     6277     6229    13175       -1       -1       -1       -1       -1       -1       -1       -1    90342   103753   121736       -1       -1
7            1282   0.0080  8     violet        0        0        0        0        0        0      131      823      328        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0083   0.0807   0.0103   0.0000   0.0000       -1       -1       -1       -1       -1       -1    15164     8835    16902       -1       -1       -1       -1       -1       -1       -1       -1    95215   105085   123252       -1       -1
8            1224   0.0076  9       cyan        0        0        0        0        0        0        0        0        6      649      569   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0002   0.0447   0.0762       -1       -1       -1       -1       -1       -1       -1       -1     1460     5843     5828       -1       -1       -1       -1       -1       -1       -1       -1   107512   144446   158825
9             890   0.0056 10    magenta        0        0       75      170      623       22        0        0        0        0        0   0.0000   0.0000   0.0051   0.0315   0.0113   0.0313   0.0000   0.0000   0.0000   0.0000   0.0000       -1       -1    13920     3944    38706       28       -1       -1       -1       -1       -1       -1       -1    18804    23210    66129    79425       -1       -1       -1       -1       -1
