Entry DNA#Exit DNA
44.5090	  #43.8392
44.5568	  #43.8111
44.5464	  #44.0560
44.5396	  #43.9558
44.5216	  #43.9640
44.6705	  #43.8498
44.5195	  #43.9678
44.5077	  #43.7472
44.7227	  #43.8002
44.4700	  #43.9691
44.5635	  #44.0700
44.5340	  #44.2454
44.3213	  #44.1441
44.6348	  #44.4143
44.4426	  #44.5068
44.6324	  #44.6487
44.3601	  #44.4975
44.2816	  #44.0035
44.4770	  #44.0784
44.4413	  #44.0194
44.4953	  #44.0750
44.6184	  #43.9266
44.5219	  #44.0690
44.7098	  #44.0339
44.6117	  #44.0305
44.7863	  #44.0839
44.9771	  #44.0817
44.9314	  #43.9044
44.8458	  #44.1084
45.0359	  #43.9983
44.8255	  #44.1771
44.7858	  #44.1150
44.9495	  #44.3123
44.9950	  #44.2287
44.8534	  #44.0865
44.6405	  #44.0582
44.8641	  #44.0798
44.9829	  #44.1722
44.9280	  #43.9336
45.1056	  #44.2119
45.1297	  #44.4265
45.1218	  #44.2430
44.9424	  #44.0601
45.1324	  #44.1435
45.0877	  #44.1686
44.8668	  #44.1759
44.9219	  #44.1191
45.1738	  #43.9991
45.2281	  #44.3250
45.3561	  #44.2053
45.3662	  #44.1539
45.3603	  #44.3104
45.1760	  #44.1539
45.2497	  #44.0387
45.2470	  #44.1047
45.2934	  #44.1093
45.3932	  #44.0090
45.4403	  #44.0195
45.3566	  #44.2585
45.1747	  #44.2268
45.1599	  #44.3586
45.2329	  #44.0182
45.5300	  #44.2014
45.5192	  #44.1764
45.4116	  #44.0000
45.3977	  #44.0786
45.5208	  #43.6955
45.4892	  #43.6976
45.6353	  #43.5970
45.5262	  #43.7773
45.6272	  #43.6427
45.6798	  #43.4764
45.6893	  #43.5311
45.6116	  #43.4649
46.0774	  #43.3110
46.0426	  #43.3582
45.9175	  #43.3865
45.8841	  #43.5613
46.1376	  #43.4213
46.0852	  #43.5645
45.7980	  #43.6091
45.9806	  #43.7566
45.8833	  #43.7416
45.8019	  #43.5423
46.0097	  #43.6318
46.1966	  #43.7620
46.2460	  #43.7508
46.2848	  #43.5976
46.1522	  #43.5025
46.0424	  #43.8214
45.7153	  #43.5561
45.8029	  #43.3990
45.8446	  #43.3806
45.9458	  #43.3948
45.8134	  #43.3064
45.6096	  #43.5139
45.9531	  #43.2132
45.9547	  #43.6910
45.9367	  #43.5851
45.7688	  #43.5475
45.9634	  #43.5758
46.2878	  #43.6247
46.2189	  #44.1343
46.1479	  #43.8964
46.0077	  #43.7205
46.2431	  #44.0459
46.0299	  #43.9302
45.8053	  #43.8582
45.9009	  #43.7828
45.8597	  #43.9404
45.9345	  #43.8696
45.8431	  #44.2283
46.0606	  #44.2659
45.9712	  #44.4504
46.0781	  #44.0643
46.3014	  #44.3315
46.1332	  #44.0698
45.9943	  #44.2093
45.8754	  #44.1990
45.7349	  #44.3013
46.1519	  #44.2888
46.5543	  #44.2300
46.2213	  #44.5214
46.2816	  #44.0901
46.1900	  #44.3922
46.2394	  #44.2199
46.2771	  #44.1286
46.1941	  #44.3337
46.3850	  #44.5438
46.4031	  #44.5627
46.3394	  #44.6614
46.4684	  #44.3696
46.2135	  #44.4754
46.4341	  #44.4610
46.4322	  #44.3255
46.6699	  #44.3721
46.6209	  #44.3382
46.4724	  #44.2086
46.6283	  #44.0352
46.5503	  #44.1411
46.5299	  #44.2147
46.6859	  #44.2245
46.7025	  #44.1950
46.6838	  #44.2487
46.7648	  #44.1890
46.8604	  #44.0923
46.9139	  #43.9765
46.7179	  #44.0300
46.6663	  #43.9356
46.7860	  #44.0404
46.6815	  #44.0434
46.8087	  #44.2027
46.7763	  #44.1241
46.5717	  #44.0198
46.7270	  #44.2340
46.6815	  #44.3084
46.2867	  #44.4597
46.2687	  #44.4111
46.1555	  #44.5169
46.1136	  #44.7218
46.3885	  #44.3933
46.3093	  #44.2522
46.1105	  #44.4570
46.5425	  #44.4406
46.7581	  #44.5925
46.8402	  #44.3807
46.8989	  #44.2070
46.7541	  #44.3958
46.7811	  #44.4777
46.9412	  #44.6939
46.5912	  #44.2832
46.4271	  #44.3740
46.3080	  #44.1908
46.4734	  #44.3670
46.4576	  #44.4044
46.1967	  #44.1085
46.2275	  #44.2583
46.3075	  #44.1201
46.3639	  #43.9751
46.6072	  #44.0689
46.5630	  #44.2923
46.5122	  #44.5037
46.6426	  #44.4640
46.5863	  #44.4567
46.2322	  #44.6634
46.3022	  #44.9284
46.2578	  #44.9187
46.0802	  #44.8778
46.0175	  #44.6918
45.9498	  #44.5322
46.2337	  #44.4171
46.1773	  #44.3872
46.2389	  #44.2536
46.0908	  #44.3650
46.1281	  #44.2314
46.1243	  #44.4904
46.1217	  #44.4410
45.8437	  #44.4822
45.8633	  #44.5745
46.3010	  #44.5781
46.1189	  #44.4625
46.0432	  #44.0869
46.0183	  #44.3053
46.1971	  #44.3000
45.9162	  #44.1513
45.8794	  #44.3588
45.8251	  #44.3673
45.8511	  #44.3837
45.7838	  #44.3548
45.8512	  #44.1679
45.7286	  #44.1436
45.7035	  #44.1054
45.8543	  #44.1578
45.7520	  #44.2074
45.7921	  #43.9322
45.5141	  #43.9635
45.7490	  #43.9455
45.5968	  #43.9418
45.7198	  #44.0380
45.7540	  #44.3051
45.6771	  #44.2814
45.6026	  #44.3406
45.8169	  #44.3545
45.5547	  #44.2077
45.5152	  #44.3813
45.6300	  #44.5149
45.9031	  #44.2178
45.7346	  #44.2318
45.9481	  #44.1074
45.9520	  #44.5026
46.1016	  #44.4138
45.7982	  #44.4683
46.0225	  #44.4878
45.8391	  #44.6872
45.7558	  #44.6126
45.6858	  #44.8115
45.7947	  #44.7659
45.7357	  #44.6967
45.7942	  #44.4919
45.6287	  #44.7419
45.5921	  #44.6363
45.4870	  #44.4249
45.4181	  #44.6999
45.6063	  #44.5255
45.4274	  #44.7015
45.4069	  #44.4110
45.2539	  #44.3277
45.3321	  #44.5448
45.3462	  #44.5264
45.4768	  #44.5151
45.3807	  #44.1652
45.4247	  #44.1514
45.2886	  #44.4812
45.3496	  #44.5181
45.2986	  #44.5898
45.1430	  #44.6441
45.2440	  #44.8108
45.2241	  #44.8608
45.0693	  #44.8332
45.2545	  #44.6622
45.1012	  #44.7668
45.5010	  #44.7420
45.4436	  #44.6493
45.5739	  #44.9730
45.7958	  #44.7168
45.6798	  #44.9232
45.6666	  #44.7023
45.6590	  #44.5393
45.4471	  #44.7994
45.4290	  #44.9499
45.3931	  #44.7577
45.4303	  #44.5303
45.5933	  #44.7967
45.6169	  #44.5660
45.4339	  #44.4743
45.4351	  #44.4148
45.4530	  #44.5329
45.5765	  #44.5571
45.4250	  #44.4761
45.5363	  #44.6236
45.4941	  #44.6833
45.3291	  #44.5196
45.2827	  #44.4495
45.1498	  #44.3350
45.2404	  #44.4720
45.2024	  #44.3634
45.0916	  #44.5329
45.0231	  #44.4640
45.0195	  #44.5001
45.1886	  #44.4482
45.3150	  #44.4825
45.2343	  #44.6432
45.2949	  #44.6096
45.0708	  #44.5759
44.9835	  #44.3541
45.1155	  #44.1135
45.0752	  #44.5117
45.1240	  #44.4043
45.2189	  #44.6170
45.2339	  #44.4684
45.1880	  #44.4285
45.2706	  #44.3935
45.0894	  #44.2676
45.3328	  #44.3371
45.3520	  #44.3936
45.5605	  #44.4250
45.3642	  #44.3588
45.5120	  #44.4411
45.1617	  #44.3340
45.3544	  #44.3741
45.1531	  #44.2618
45.2521	  #44.6760
45.4353	  #44.5023
45.1679	  #44.4706
45.3400	  #44.5590
45.3817	  #44.6277
45.3440	  #44.7058
45.5259	  #44.6596
45.4975	  #44.9821
45.3438	  #44.9430
45.4492	  #45.0100
45.5126	  #44.9204
45.2380	  #44.8857
45.3206	  #44.8890
45.1503	  #44.8440
45.1801	  #44.9528
44.8185	  #44.9689
44.9828	  #45.1514
45.0389	  #44.7317
44.9718	  #45.1801
45.0122	  #45.1139
45.0278	  #45.3194
45.0449	  #45.3696
45.1476	  #45.1904
44.9921	  #45.2692
45.0387	  #45.2025
45.1768	  #45.0617
45.1841	  #44.9745
44.9914	  #44.9327
44.7596	  #44.9257
44.8558	  #44.5400
44.7629	  #44.5270
44.7865	  #44.3345
44.8683	  #44.2888
45.0189	  #44.3343
44.9619	  #44.3868
45.0790	  #44.4024
45.2747	  #44.2049
45.1306	  #44.3063
45.3182	  #44.3266
45.4365	  #44.4166
45.4255	  #44.5962
45.3995	  #44.5140
45.1123	  #44.7371
45.3761	  #44.7440
45.2182	  #44.9049
45.3364	  #44.7801
45.1829	  #44.9915
45.4859	  #44.8784
45.4576	  #44.9467
45.4202	  #44.9437
45.5082	  #44.8565
45.4360	  #45.0162
45.4608	  #45.0809
45.3082	  #44.7877
45.4852	  #44.8384
45.4558	  #45.1596
45.4351	  #44.7563
45.7126	  #44.8580
45.6128	  #44.7298
45.7675	  #44.6017
45.7478	  #44.7314
45.7645	  #44.8856
45.3411	  #44.9036
45.6229	  #44.9440
45.6520	  #44.7685
45.4723	  #44.6374
45.6495	  #44.4650
45.3058	  #44.5415
45.3463	  #44.6107
45.4922	  #44.7022
45.5929	  #44.6652
45.6618	  #44.7581
45.5698	  #44.6499
45.4714	  #44.4682
45.2180	  #44.6479
45.5937	  #44.6248
45.3568	  #44.7746
45.2674	  #44.5314
45.5815	  #44.7074
45.2910	  #44.7294
45.3662	  #44.7469
45.3559	  #44.7236
45.2787	  #44.6960
45.2703	  #44.4614
45.3913	  #44.3059
45.3807	  #44.3592
45.2519	  #44.3091
45.3149	  #44.1932
45.4181	  #44.6587
45.4688	  #44.8040
45.6039	  #44.5506
45.4140	  #44.5119
45.7122	  #44.4765
45.7844	  #44.5879
45.5987	  #44.4545
45.1744	  #44.6804
45.4404	  #44.9219
45.3477	  #45.0069
45.4351	  #44.8397
45.5413	  #44.9125
45.6025	  #45.0157
45.4895	  #44.8568
45.4185	  #44.6316
45.1770	  #44.8150
45.4057	  #44.6339
45.4939	  #44.4586
45.5319	  #44.6052
45.4348	  #44.5778
45.3751	  #44.4442
45.6064	  #44.4705
45.5950	  #44.6822
45.5731	  #44.8897
45.6718	  #44.9747
46.1503	  #45.0606
46.0204	  #44.8603
45.9665	  #44.8735
45.5711	  #44.5835
45.5574	  #44.9942
45.7024	  #44.8212
45.8079	  #44.8479
46.0431	  #44.7604
45.9338	  #44.5447
45.7850	  #44.9636
45.9728	  #44.9980
46.0708	  #44.5567
45.8864	  #44.6526
45.8423	  #44.6987
45.9087	  #44.6795
45.6825	  #44.6377
45.6713	  #44.5107
45.6517	  #44.5977
45.4912	  #44.6660
45.7934	  #44.6582
46.0062	  #44.9383
45.9805	  #44.5601
