# 1st <= 45711 < 2nd <= 59441 < 3rd <= 79037 < 4th <= 79960 < 5th <= 80000 < 6th <= 87682 < 7th <= 104139 < 8th <= 136828 < 9th <= 142339 < 10th
# 1st= 45711  2nd= 13730  3rd= 19596  4th= 923  5th= 40  6th= 7682  7th= 16457  8th= 32689  9th= 5511  10th= 17661
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd NumIn3rd NumIn4th NumIn5th NumIn6th NumIn7th NumIn8th NumIn9th NumIn10th    Frac1    Frac2    Frac3    Frac4    Frac5    Frac6    Frac7    Frac8    Frac9    Frac10   First1   First2   First3   First4   First5   First6   First7   First8   First9   First10     Rep1     Rep2     Rep3     Rep4     Rep5     Rep6     Rep7     Rep8     Rep9     Rep10
0           15485   0.0968  1      black    15459       11       15        0        0        0        0        0        0        0   0.3382   0.0008   0.0008   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000      153      318      811       -1       -1       -1       -1       -1       -1       -1    15483    46098    60307       -1       -1       -1       -1       -1       -1       -1
1           12713   0.0795  2        red     4219     4051     4443        0        0        0        0        0        0        0   0.0923   0.2950   0.2267   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000    18446     3166     2671       -1       -1       -1       -1       -1       -1       -1    22095    51508    65800       -1       -1       -1       -1       -1       -1       -1
2            7682   0.0480  3      green        0        0        0        0        0        0        0      582     1341     5759   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0178   0.2433   0.3261       -1       -1       -1       -1       -1       -1       -1    18611     2802     2445       -1       -1       -1       -1       -1       -1       -1   123322   140359   147126
3            6481   0.0405  4       blue     6061      386       34        0        0        0        0        0        0        0   0.1326   0.0281   0.0017   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000    23339     7734     8178       -1       -1       -1       -1       -1       -1       -1    37321    55363    67684       -1       -1       -1       -1       -1       -1       -1
4            5547   0.0347  5     yellow     4630      628      289        0        0        0        0        0        0        0   0.1013   0.0457   0.0147   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000    39233    11609     8991       -1       -1       -1       -1       -1       -1       -1    41064    57910    68675       -1       -1       -1       -1       -1       -1       -1
5            5338   0.0334  6      brown        0        0        0        0        0      782     1519     2665      280       92   0.0000   0.0000   0.0000   0.0000   0.0000   0.1018   0.0923   0.0815   0.0508   0.0052       -1       -1       -1       -1       -1       16       11       16       20       19       -1       -1       -1       -1       -1    85051    98008   108987   138422   142387
6            4229   0.0264  7       grey      703     2355     1018      143        8        2        0        0        0        0   0.0154   0.1715   0.0519   0.1549   0.2000   0.0003   0.0000   0.0000   0.0000   0.0000        1        1        1        1        7       57       -1       -1       -1       -1    17965    47240    59545    79752    79983    83611       -1       -1       -1       -1
7            2470   0.0154  8     violet        0        0        0        0        0        9       69      502      115     1775   0.0000   0.0000   0.0000   0.0000   0.0000   0.0012   0.0042   0.0154   0.0209   0.1005       -1       -1       -1       -1       -1     3129     7425    21347     4625     8602       -1       -1       -1       -1       -1    83187    95437   128040   141767   156406
8            1445   0.0090  9       cyan      120      124     1201        0        0        0        0        0        0        0   0.0026   0.0090   0.0613   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000    44316    12573    11417       -1       -1       -1       -1       -1       -1       -1    45203    59027    76382       -1       -1       -1       -1       -1       -1       -1
9            1040   0.0065 10    magenta        0        0        0        0        0        0        0       86      100      854   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0026   0.0181   0.0484       -1       -1       -1       -1       -1       -1       -1    18322     2547     1414       -1       -1       -1       -1       -1       -1       -1   122549   139453   144194
10            777   0.0049 11     orange       20       12      745        0        0        0        0        0        0        0   0.0004   0.0009   0.0380   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000    44301    12551    10696       -1       -1       -1       -1       -1       -1       -1    44305    58269    70386       -1       -1       -1       -1       -1       -1       -1
11            678   0.0042 12     indigo        0        0        0        0        0        0        0      216      126      336   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0066   0.0229   0.0190       -1       -1       -1       -1       -1       -1       -1    18088     2168      748       -1       -1       -1       -1       -1       -1       -1   122337   139209   143501
12            651   0.0041 13     maroon       81      187      383        0        0        0        0        0        0        0   0.0018   0.0136   0.0195   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000    18271     2780     1772       -1       -1       -1       -1       -1       -1       -1    18315    48605    61544       -1       -1       -1       -1       -1       -1       -1
13            481   0.0030 14  turquoise        0        0        0        0        0      128      155      198        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0167   0.0094   0.0061   0.0000   0.0000       -1       -1       -1       -1       -1     2988     7154    20970       -1       -1       -1       -1       -1       -1       -1    82995    94932   125296       -1       -1
14             56   0.0003 15  darkgreen        0        0        0        0        0        0        0        0        0       56   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0032       -1       -1       -1       -1       -1       -1       -1       -1       -1     1332       -1       -1       -1       -1       -1       -1       -1       -1       -1   143722
15             44   0.0003 15  darkgreen        0        0        0        0        0        0        0        0       22       22   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0040   0.0012       -1       -1       -1       -1       -1       -1       -1       -1     2499      845       -1       -1       -1       -1       -1       -1       -1       -1   139344   143198
16             39   0.0002 15  darkgreen        0        0        0        0        0        0        0        4       35        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0001   0.0064   0.0000       -1       -1       -1       -1       -1       -1       -1    18722     3195       -1       -1       -1       -1       -1       -1       -1       -1   122861   140044       -1
