# Ligand
# Elec VdW
0 -38571.991400 -5040.083946
1 -38551.550400 -5005.730094
2 -38636.802500 -5064.108008
3 -38554.905400 -5075.973064
4 -38549.930600 -5044.714667
5 -38531.491700 -5053.541188
6 -38527.356900 -5104.093751
7 -38499.022800 -5099.476151
8 -38498.988800 -5127.351786
9 -38503.053000 -5067.765423
10 -38596.537600 -5056.522429
11 -38482.246500 -5082.274056
12 -38502.357000 -5076.007034
13 -38521.455500 -5066.983282
14 -38507.912400 -5076.463677
15 -38622.602200 -5050.091180
16 -38475.183000 -5102.789548
17 -38590.647400 -5081.595754
18 -38541.288800 -5116.495216
19 -38574.218600 -5070.308156
20 -38582.538000 -5091.342269
21 -38586.808700 -5097.679286
22 -38575.121200 -5075.797199
23 -38456.274600 -5103.468308
24 -38542.683900 -5095.344962
25 -38499.330800 -5132.783928
26 -38524.539300 -5117.643152
27 -38595.549200 -5076.090346
28 -38624.190300 -5088.974881
29 -38583.560300 -5047.761653
30 -38577.185600 -5086.174061
31 -38533.116700 -5090.170070
32 -38485.578900 -5139.955160
33 -38540.588700 -5025.164376
34 -38658.561100 -5052.376144
35 -38559.439600 -5069.062005
36 -38472.881100 -5048.514724
37 -38520.213100 -5092.237317
38 -38535.662600 -5073.366957
39 -38557.661800 -5071.542609
40 -38580.379700 -5071.190516
41 -38464.333500 -5105.421394
42 -38608.936800 -5070.963586
43 -38608.459000 -5057.541558
44 -38471.569100 -5068.837808
45 -38623.262000 -5101.914733
46 -38632.043600 -5082.534644
47 -38614.530900 -5029.541480
48 -38520.346300 -5092.786337
49 -38512.268200 -5119.985646
50 -38578.846900 -5103.891952
51 -38574.712900 -5104.155575
52 -38559.937700 -5088.881020
53 -38524.658400 -5068.403624
54 -38562.104900 -5125.131978
55 -38521.929700 -5083.487979
56 -38502.128900 -5061.713087
57 -38620.041100 -5043.887623
58 -38550.566700 -5073.151518
59 -38516.699800 -5081.190970
60 -38609.764900 -5052.740430
61 -38542.791600 -5089.060647
62 -38638.307100 -5105.760394
63 -38604.001200 -5058.136750
64 -38533.804600 -5050.261106
65 -38563.756300 -5005.684528
66 -38518.840000 -5061.110588
67 -38569.614700 -5048.569701
68 -38626.099000 -5039.268625
69 -38566.169800 -5064.938459
70 -38591.345000 -5022.966882
71 -38619.742800 -5010.334584
72 -38530.109700 -5084.262205
73 -38570.058900 -5087.675358
74 -38537.352100 -5100.268713
75 -38535.173500 -5082.810708
76 -38543.983500 -5054.225183
77 -38552.609900 -5087.111052
78 -38622.573000 -5036.796770
79 -38555.414800 -5088.225919
80 -38546.697400 -5057.078938
81 -38652.189300 -5066.778503
82 -38564.401200 -5106.660697
83 -38580.311300 -5096.171292
84 -38611.624600 -5073.199402
85 -38614.698000 -5086.627999
86 -38527.984300 -5081.848091
87 -38594.941400 -5026.964092
88 -38559.279500 -5040.368964
89 -38649.814200 -5050.982513
90 -38604.769300 -5108.802610
91 -38605.762000 -5067.551324
92 -38618.389900 -5051.054010
93 -38587.864900 -5061.941814
94 -38533.941600 -5088.333702
95 -38584.350300 -5065.741827
96 -38619.530200 -5085.403289
97 -38457.409600 -5138.702866
98 -38536.381000 -5068.655131
99 -38631.125100 -5061.106569
100 -38547.708600 -5057.933056
101 -38593.353800 -5021.576854
102 -38593.505500 -5038.889487
103 -38647.205000 -5062.228515
104 -38580.800600 -5051.185343
105 -38563.833300 -5053.228115
106 -38527.861900 -5092.022222
107 -38546.972900 -5060.682978
108 -38654.911000 -5064.325487
109 -38538.140000 -5111.034826
110 -38513.263300 -5072.186149
111 -38534.653600 -5108.815860
112 -38546.748700 -5109.898546
113 -38526.512100 -5038.116273
114 -38561.139800 -5075.865537
115 -38506.551700 -5062.374254
116 -38518.090300 -5068.387293
117 -38560.342200 -5065.182022
118 -38540.676600 -5064.137487
119 -38572.167700 -5077.110998
120 -38515.961100 -5094.033941
121 -38573.137200 -5039.054932
122 -38499.523800 -5101.420324
123 -38596.153900 -5065.833653
124 -38564.341200 -5098.230663
125 -38586.228200 -5066.308540
126 -38555.557600 -5102.989834
127 -38629.008300 -5050.379568
128 -38500.854400 -5076.814752
129 -38587.257400 -5047.156111
130 -38473.583500 -5079.825412
131 -38613.892200 -5065.423757
132 -38560.215300 -5135.816454
133 -38454.476200 -5092.246833
134 -38582.659300 -5018.623930
135 -38531.884000 -5071.904170
136 -38533.502400 -5072.834088
137 -38594.721300 -5057.804172
138 -38558.837900 -5094.496572
139 -38560.114900 -5054.212518
140 -38583.635500 -5085.693175
141 -38620.003800 -5078.986446
142 -38569.043500 -5070.775201
143 -38570.011000 -5072.349420
144 -38487.625600 -5096.918766
145 -38574.710600 -5101.732043
146 -38532.921900 -5101.883493
147 -38591.641500 -5081.978271
148 -38515.116600 -5103.822275
149 -38623.615700 -5109.460475
150 -38540.807000 -5095.922267
151 -38483.026700 -5039.835728
152 -38546.917100 -5081.137108
153 -38577.542600 -5052.495099
154 -38688.676000 -5047.660751
155 -38486.305400 -5048.560581
156 -38509.985800 -5061.967932
157 -38590.060800 -5082.441044
158 -38602.568100 -5073.794495
159 -38518.134400 -5149.243837
160 -38632.061200 -5032.131782
161 -38516.927200 -5078.576878
162 -38658.199200 -5037.394248
163 -38646.161600 -5033.144999
164 -38575.324800 -5050.249659
165 -38531.563100 -5097.825858
166 -38564.187500 -5057.711810
167 -38551.699500 -5067.593615
168 -38631.178600 -5014.212797
169 -38521.872400 -5058.257518
170 -38608.193400 -5054.446862
171 -38549.087900 -5030.517880
172 -38557.220700 -5070.092937
173 -38592.021000 -5028.859167
